Movie,Score,Poster_URL
Moonlight,85%,https://posters.movieposterdb.com/22_12/2006/995736/s_moonlight-movie-poster_8db8aac4.jpg
Parasite,95%,https://posters.movieposterdb.com/23_01/2009/1356973/s_parasite-movie-poster_27e1faa8.jpg
Star Wars: The Rise of Skywalker,62%,https://posters.movieposterdb.com/23_03/2019/11464830/s_live-from-the-red-carpet-of-star-wars-the-rise-of-skywalker-movie-poster_323da1d6.jpg
Green Book,96%,https://posters.movieposterdb.com/22_12/2018/6966692/s_green-book-movie-poster_3e833cbd.jpg
Pirates of the Caribbean: Dead Man's Chest,56%,https://posters.movieposterdb.com/23_01/2006/1815877/s_pirates-of-the-caribbean-dead-mans-chest-movie-poster_012afdc3.jpg
The Irishman,67%,https://posters.movieposterdb.com/20_08/2019/1302006/s_1302006_c55ab9b5.jpg
The Departed,90%,https://posters.movieposterdb.com/06_10/2006/0407887/s_138581_0407887_3f7c779a.jpg
The Twilight Saga: New Moon,16%,https://posters.movieposterdb.com/11_10/2009/1259571/s_1259571_2c6e71f0.jpg
The Lord of the Rings: The Two Towers,69%,https://posters.movieposterdb.com/06_04/2002/0167261/s_107349_0167261_e890fd13.jpg
The Godfather,87%,https://posters.movieposterdb.com/22_12/1991/809433/s_the-godfather-movie-poster_d53af75d.jpg
Mad Max: Fury Road,78%,https://posters.movieposterdb.com/15_07/2015/1392190/s_1392190_50142848.jpg
Pulp Fiction,87%,https://posters.movieposterdb.com/07_10/1994/110912/s_110912_55345443.jpg
The Shape of Water,96%,https://posters.movieposterdb.com/21_06/2017/5580390/s_5580390_d89e3b68.jpg
Stand by Me,93%,https://posters.movieposterdb.com/22_11/1995/114526/s_stand-by-me-movie-poster_40cc4946.jpg
Titanic,86%,https://posters.movieposterdb.com/12_02/2012/1869152/s_1869152_5f3c644f.jpg
Terminator 2: Judgment Day,91%,https://posters.movieposterdb.com/22_10/1991/244839/s_terminator-2-judgment-day-movie-poster_a1156ba8.jpg
Aladdin,69%,https://posters.movieposterdb.com/13_04/1992/103639/s_103639_fbe86f20.jpg
The French Connection,85%,https://posters.movieposterdb.com/09_10/1971/67116/s_67116_782ff2d1.jpg
The Green Mile,91%,https://posters.movieposterdb.com/05_07/1999/0120689/s_34970_0120689_e3f4a87d.jpg
Guardians of the Galaxy,82%,https://posters.movieposterdb.com/14_07/2014/2015381/s_2015381_2a13ec7d.jpg
Back to the Future,98%,https://posters.movieposterdb.com/23_01/1989/2197817/s_back-to-the-future-movie-poster_c8254646.jpg
Arrival,82%,https://posters.movieposterdb.com/14_02/2013/3404240/s_3404240_8c5a4155.jpg
The Incredibles,87%,https://posters.movieposterdb.com/22_12/2004/433576/s_the-incredibles-movie-poster_e5530c62.jpg
The Goonies,74%,https://posters.movieposterdb.com/23_01/1985/1289573/s_the-goonies-movie-poster_e254f692.jpg
Avatar,61%,https://posters.movieposterdb.com/23_01/2009/499549/s_avatar-movie-poster_c111a145.png
The Matrix,71%,https://posters.movieposterdb.com/06_01/1999/0133093/s_77607_0133093_ab8bc972.jpg
Rain Man,89%,https://posters.movieposterdb.com/22_04/1988/95953/s_95953_682863b8.jpg
Avengers: Age of Ultron,70%,https://posters.movieposterdb.com/15_02/2015/2395427/s_2395427_2037d14e.jpg
Whiplash,93%,https://posters.movieposterdb.com/22_12/2003/388541/s_whiplash-movie-poster_f46f3e14.jpg
12 Years a Slave,90%,https://posters.movieposterdb.com/13_07/2014/2024544/s_2024544_c19864c8.jpg
Spider-Man 3,41%,https://posters.movieposterdb.com/22_12/2007/837564/s_spider-man-3-movie-poster_6461a748.jpg
Harry Potter and the Goblet of Fire,77%,https://posters.movieposterdb.com/22_12/2005/764644/s_harry-potter-and-the-goblet-of-fire-movie-poster_61b746f8.jpg
Ex Machina,97%,https://posters.movieposterdb.com/14_10/2015/470752/s_470752_e1bed4da.jpg
Jurassic World: Fallen Kingdom,34%,https://posters.movieposterdb.com/20_01/2018/4881806/s_4881806_9cdd2f7f.jpg
The Lion King,96%,https://posters.movieposterdb.com/22_11/1994/323073/s_the-lion-king-movie-poster_07016269.jpg
The Empire Strikes Back,94%,https://posters.movieposterdb.com/22_11/1985/251071/s_star-wars-the-empire-strikes-back-movie-poster_8c92c8d5.jpg
Despicable Me 2,74%,https://posters.movieposterdb.com/15_02/2013/1690953/s_1690953_473a6949.jpg
Blade Runner,74%,https://posters.movieposterdb.com/08_01/1982/83658/s_83658_d582fe4c.jpg
The Sixth Sense,92%,https://posters.movieposterdb.com/22_11/1972/68132/s_the-sixth-sense-movie-poster_9adf47ff.jpg
Braveheart,95%,https://posters.movieposterdb.com/05_08/1995/0112573/s_41798_0112573_9f89127b.jpg
Iron Man 3,89%,https://posters.movieposterdb.com/23_02/2013/4111326/s_iron-man-3-the-official-game-movie-poster_8be84d8e.jpg
Pirates of the Caribbean: At World's End,77%,https://posters.movieposterdb.com/22_12/2007/1043740/s_pirates-of-the-caribbean-at-worlds-end-movie-poster_8639e52b.jpg
Her,90%,https://posters.movieposterdb.com/19_12/2017/8692590/s_8692590_0e12c41c.jpg
Interstellar,91%,https://posters.movieposterdb.com/14_09/2014/816692/s_816692_593eaeff.jpg
Dunkirk,87%,https://posters.movieposterdb.com/22_12/2004/400391/s_dunkirk-movie-poster_753a5716.jpg
Birdman,98%,https://posters.movieposterdb.com/09_04/1967/61237/s_61237_c630bcf2.jpg
Aquaman,13%,https://posters.movieposterdb.com/22_03/2018/1477834/s_1477834_f264ef2c.jpg
